"","Pin25307","Pin25708","Pin25825","Pin27584","Pin35790","Pin35791"
"Pseudonocardia autotrophica",712,1773,836,1039,1058,1232
"Pseudonocardia broussonetiae",1376,3674,1475,1731,1723,2490
"Pseudonocardia dioxanivorans",1482,4179,1772,2267,2268,2978
"Pseudonocardia sp. AL041005-10",548,1235,678,784,736,981
"Pseudonocardia sp. CGMCC 4.1532",1175,3300,1205,1645,1483,2122
"Pseudonocardia sp. DSM 110487",1645,4481,1869,2345,2280,3267
"Pseudonocardia sp. EC080625-04",0,1426,0,812,808,1085
"Pseudonocardia sp. HH130629-09",685,1219,720,701,658,895
"Pseudonocardia sp. HH130630-07",843,1704,957,951,868,1150
"Saccharomonospora azurea",189,491,315,352,387,438
"Saccharomonospora cyanea",205,511,309,369,453,467
"Saccharomonospora glauca",146,347,229,316,305,285
"Saccharomonospora marina",325,688,444,552,619,659
"Saccharomonospora viridis",119,258,169,255,238,291
"Saccharomonospora xinjiangensis",131,318,227,268,228,337
"Saccharopolyspora erythraea",595,1738,922,1248,1345,1390
"Saccharopolyspora pogona",301,625,321,606,739,586
"Saccharopolyspora sp. ASAGF58",215,373,293,380,365,471
"Saccharopolyspora spinosa",247,379,279,424,427,414
"Saccharothrix espanaensis",489,1040,623,825,838,857
"Saccharothrix sp. 6-C",419,1237,637,902,924,930
"Saccharothrix syringae",502,1211,680,928,973,1044
"Epidermidibacterium keratini",478,718,649,678,696,765
"Kitasatospora albolonga",142,190,165,256,199,259
"Kitasatospora aureofaciens",258,539,301,495,1181,447
"Kitasatospora setae",329,686,375,613,939,599
"Kitasatospora sp. MMS16-BH015",369,794,459,814,4637,830
"Kitasatospora sp. NA04385",331,622,450,620,1033,594
"Streptacidiphilus bronchialis",261,541,314,506,737,498
"Streptacidiphilus sp. P02-A3a",353,714,487,817,962,623
"Streptacidiphilus sp. PB12-B1b",365,707,450,720,1005,558
"Streptomyces actuosus",288,716,313,504,694,508
"Streptomyces albidoflavus",404,440,602,643,517,714
"Streptomyces albireticuli",345,601,402,474,607,529
"Streptomyces alboflavus",221,549,416,420,651,583
"Streptomyces alboniger",183,386,219,262,416,310
"Streptomyces albulus",293,570,321,526,666,566
"Streptomyces albus",554,1142,720,1004,1316,1127
"Streptomyces alfalfae",370,619,709,401,727,852
"Streptomyces ambofaciens",239,587,351,452,565,486
"Streptomyces angustmyceticus",191,803,312,708,530,414
"Streptomyces antibioticus",312,838,354,525,850,547
"Streptomyces antimycoticus",197,307,261,319,422,325
"Streptomyces anulatus",427,692,713,592,736,769
"Streptomyces aquilus",338,1095,428,623,951,720
"Streptomyces armeniacus",342,878,526,647,828,658
"Streptomyces asoensis",687,3780,389,675,1369,843
"Streptomyces atratus",385,933,540,904,2051,2071
"Streptomyces auratus",143,379,159,771,331,165
"Streptomyces aureoverticillatus",245,592,353,433,581,541
"Streptomyces autolyticus",282,311,304,307,457,379
"Streptomyces avermitilis",323,968,326,664,1509,744
"Streptomyces bathyalis",343,699,515,612,770,678
"Streptomyces bingchenggensis",425,1250,579,939,1219,896
"Streptomyces broussonetiae",208,620,313,521,747,535
"Streptomyces buecherae",397,928,573,780,944,857
"Streptomyces cadmiisoli",291,828,433,585,802,676
"Streptomyces californicus",178,271,311,224,345,312
"Streptomyces calvus",197,436,266,324,535,406
"Streptomyces capitiformicae",289,1237,402,522,807,695
"Streptomyces cattleya",361,689,421,764,1085,662
"Streptomyces cavourensis",126,231,212,204,208,259
"Streptomyces chartreusis",570,1576,833,1032,1576,1275
"Streptomyces chromofuscus",197,551,283,401,541,428
"Streptomyces cinereoruber",0,212,0,237,198,202
"Streptomyces clavuligerus",294,591,349,487,536,508
"Streptomyces coelicolor",0,552,0,285,934,406
"Streptomyces coeruleorubidus",227,888,329,411,573,494
"Streptomyces collinus",299,773,408,514,782,535
"Streptomyces cyaneochromogenes",276,874,442,501,771,633
"Streptomyces cyaneogriseus",161,327,191,233,337,277
"Streptomyces cyanogenus",201,438,255,350,544,350
"Streptomyces dangxiongensis",213,507,223,356,566,389
"Streptomyces davaonensis",280,847,349,511,832,623
"Streptomyces deccanensis",220,1177,361,411,508,503
"Streptomyces decoyicus",168,740,243,572,513,329
"Streptomyces dengpaensis",340,1293,386,807,2510,987
"Streptomyces exfoliatus",245,693,361,426,649,654
"Streptomyces fagopyri",242,783,352,500,1407,517
"Streptomyces ferrugineus",251,764,399,450,690,580
"Streptomyces ficellus",267,646,380,407,602,553
"Streptomyces finlayi",223,492,353,368,601,664
"Streptomyces fodineus",228,587,234,455,699,447
"Streptomyces formicae",210,442,325,325,457,432
"Streptomyces fradiae",0,1175,223,2913,216,239
"Streptomyces fungicidicus",137,236,177,185,346,241
"Streptomyces galilaeus",256,809,305,448,773,706
"Streptomyces gardneri",232,543,353,340,468,755
"Streptomyces genisteinicus",283,760,402,550,626,646
"Streptomyces gilvosporeus",222,522,250,491,521,381
"Streptomyces glaucescens",243,579,254,400,508,397
"Streptomyces globisporus",441,469,317,420,434,336
"Streptomyces globosus",303,674,361,502,650,639
"Streptomyces glomeroaurantiacus",229,871,415,554,949,879
"Streptomyces gobiensis",170,388,223,338,404,371
"Streptomyces griseocarneus",292,659,381,505,777,551
"Streptomyces griseochromogenes",289,726,367,606,918,503
"Streptomyces griseofuscus",0,269,0,153,232,249
"Streptomyces griseorubiginosus",433,3027,536,966,1425,881
"Streptomyces griseoviridis",279,729,357,484,774,537
"Streptomyces griseus",304,577,387,554,666,595
"Streptomyces harbinensis",243,511,333,475,586,468
"Streptomyces hawaiiensis",218,609,287,364,464,353
"Streptomyces huasconensis",191,364,263,273,402,334
"Streptomyces hundungensis",256,589,261,458,573,504
"Streptomyces hygroscopicus",890,1591,947,1322,1816,1670
"Streptomyces incarnatus",186,524,275,402,665,399
"Streptomyces inhibens",223,647,266,985,817,460
"Streptomyces kanamyceticus",236,523,330,331,477,411
"Streptomyces katrae",282,572,300,475,598,646
"Streptomyces koyangensis",241,312,325,299,403,354
"Streptomyces lavendulae",255,628,385,431,690,650
"Streptomyces leeuwenhoekii",140,313,259,269,385,284
"Streptomyces liangshanensis",291,749,483,555,783,843
"Streptomyces lincolnensis",315,1461,420,592,949,719
"Streptomyces lividans",0,24477,0,0,15594,19576
"Streptomyces lunaelactis",457,2766,910,813,942,1422
"Streptomyces luteoverticillatus",290,700,388,504,600,484
"Streptomyces lydicus",679,1543,1165,1660,1842,1459
"Streptomyces malaysiensis",208,248,238,271,228,299
"Streptomyces microflavus",427,437,502,482,560,626
"Streptomyces mirabilis",353,918,329,1113,1556,956
"Streptomyces mobaraensis",313,764,621,979,927,857
"Streptomyces murinus",161,158,193,145,245,194
"Streptomyces nigra",259,659,367,472,668,517
"Streptomyces nitrosporeus",205,418,319,312,484,451
"Streptomyces niveus",446,978,677,821,1109,1241
"Streptomyces nodosus",267,597,284,520,725,471
"Streptomyces nojiriensis",318,1199,796,367,465,2001
"Streptomyces noursei",0,142,240,368,399,316
"Streptomyces olivaceus",302,528,423,345,514,452
"Streptomyces olivoreticuli",259,653,374,530,699,537
"Streptomyces pactum",179,538,278,331,417,409
"Streptomyces paludis",249,593,388,454,646,603
"Streptomyces parvulus",184,557,273,366,630,377
"Streptomyces peucetius",238,683,360,424,617,559
"Streptomyces phaeolivaceus",334,1883,547,535,659,736
"Streptomyces platensis",117,381,151,288,296,199
"Streptomyces pluripotens",209,462,250,335,484,384
"Streptomyces prasinus",188,531,543,394,590,463
"Streptomyces pratensis",300,427,488,324,546,565
"Streptomyces pristinaespiralis",225,523,315,379,500,485
"Streptomyces qaidamensis",231,565,278,318,550,389
"Streptomyces qinzhouensis",158,370,265,313,384,374
"Streptomyces rapamycinicus",234,538,341,478,583,495
"Streptomyces rectiverticillatus",258,654,417,504,687,551
"Streptomyces rimosus",579,665,957,641,741,573
"Streptomyces rochei",0,168,0,284,0,0
"Streptomyces roseirectus",315,787,425,500,679,610
"Streptomyces roseochromogenus",200,556,320,444,694,430
"Streptomyces rubrolavendulae",0,191,251,240,216,179
"Streptomyces rutgersensis",187,462,234,352,427,325
"Streptomyces sampsonii",0,179,0,0,189,0
"Streptomyces scabiei",0,1211,476,351,315,0
"Streptomyces seoulensis",466,1130,598,894,1366,922
"Streptomyces sp. 11-1-2",196,376,314,346,537,436
"Streptomyces sp. 135",231,568,266,380,550,488
"Streptomyces sp. 2114.2",0,260,0,258,250,236
"Streptomyces sp. 2323.1",145,374,186,815,315,247
"Streptomyces sp. 3211",195,524,380,326,341,952
"Streptomyces sp. 3214.6",371,3759,394,736,1640,962
"Streptomyces sp. 604F",0,171,0,0,203,0
"Streptomyces sp. 769",137,301,223,329,399,321
"Streptomyces sp. A1-5",0,159,0,248,284,166
"Streptomyces sp. A144",0,239,179,182,218,225
"Streptomyces sp. A2-16",362,4965,518,926,1695,622
"Streptomyces sp. ADI95-16",309,705,377,301,511,661
"Streptomyces sp. AgN23",204,432,255,420,520,437
"Streptomyces sp. AMCC400023",302,1409,519,463,744,665
"Streptomyces sp. BH-MK-02",367,1687,540,1610,9691,1368
"Streptomyces sp. BHT-5-2",229,463,318,471,622,445
"Streptomyces sp. BSE6.1",0,218,0,161,141,196
"Streptomyces sp. C8S0",246,670,408,527,683,533
"Streptomyces sp. CA-256286",0,180,0,0,0,0
"Streptomyces sp. CB00271",194,176,219,209,236,254
"Streptomyces sp. CB01881",471,1276,624,976,3524,1045
"Streptomyces sp. CB04723",138,212,168,105,228,244
"Streptomyces sp. CB09001",187,436,210,317,461,377
"Streptomyces sp. CC0208",0,4789,0,1172,1465,0
"Streptomyces sp. CCM_MD2014",190,361,251,188,329,294
"Streptomyces sp. CdTB01",379,1448,436,1016,1637,919
"Streptomyces sp. CFMR 7",238,214,237,174,333,285
"Streptomyces sp. CLI2509",271,244,203,276,256,262
"Streptomyces sp. CMB-StM0423",293,504,333,425,522,448
"Streptomyces sp. CNQ-509",259,351,306,342,413,424
"Streptomyces sp. CRSS-Y-16",0,303,276,338,659,353
"Streptomyces sp. DSM 40868",240,681,367,546,700,557
"Streptomyces sp. EAS-AB2608",245,317,240,239,353,328
"Streptomyces sp. endophyte_N2",218,199,0,186,213,204
"Streptomyces sp. F8",0,0,0,32,0,43
"Streptomyces sp. fd1-xmd",291,654,416,390,549,888
"Streptomyces sp. FR-008",0,161,0,0,0,264
"Streptomyces sp. FR1",0,26,0,0,0,0
"Streptomyces sp. GBA 94-10",0,271,0,0,0,0
"Streptomyces sp. GF20",273,201,0,0,271,0
"Streptomyces sp. GMY02",297,718,457,545,758,838
"Streptomyces sp. Go-475",251,723,303,427,743,509
"Streptomyces sp. Go 40/10",267,624,293,474,722,513
"Streptomyces sp. GQFP",786,1345,887,853,997,1999
"Streptomyces sp. GS7",260,637,327,532,717,570
"Streptomyces sp. HF10",200,336,196,268,412,245
"Streptomyces sp. HM190",269,1040,347,476,732,670
"Streptomyces sp. HSG2",234,534,273,363,547,472
"Streptomyces sp. ID38640",157,328,151,257,294,265
"Streptomyces sp. INR7",322,650,410,395,477,918
"Streptomyces sp. JB150",207,617,266,394,600,450
"Streptomyces sp. jing01",214,504,199,327,533,289
"Streptomyces sp. KPB2",0,206,0,0,207,234
"Streptomyces sp. LBUM 1475",0,1798,0,0,0,1745
"Streptomyces sp. LBUM 1480",0,1354,0,368,541,737
"Streptomyces sp. LBUM 1482",0,2928,0,1191,2223,2072
"Streptomyces sp. M2",320,391,297,319,461,310
"Streptomyces sp. M54",138,130,148,102,146,203
"Streptomyces sp. M56",146,346,268,286,402,341
"Streptomyces sp. MA3_2.13",349,727,527,647,827,678
"Streptomyces sp. MBT27",311,793,399,627,841,728
"Streptomyces sp. Mg1",207,1330,339,384,523,708
"Streptomyces sp. MG28",329,1775,471,515,734,789
"Streptomyces sp. MG62",223,712,331,432,585,508
"Streptomyces sp. MOE7",166,303,213,269,298,244
"Streptomyces sp. NA02536",190,235,268,251,346,258
"Streptomyces sp. NA02950",340,776,418,586,878,623
"Streptomyces sp. NA03103",0,164,276,0,243,161
"Streptomyces sp. NA04227",250,779,403,497,732,512
"Streptomyces sp. NBU3104",0,167,0,0,262,0
"Streptomyces sp. NEAU-S7GS2",167,355,231,277,291,280
"Streptomyces sp. NEAU-sy36",284,627,312,536,723,452
"Streptomyces sp. NHF165",382,766,471,651,810,693
"Streptomyces sp. P3",384,5216,383,640,1462,767
"Streptomyces sp. PAMC 26508",0,454,501,305,849,720
"Streptomyces sp. PBH53",182,272,194,220,283,278
"Streptomyces sp. QHH-9511",265,678,349,439,613,634
"Streptomyces sp. R527F",0,177,356,239,341,340
"Streptomyces sp. Rer75",324,1805,298,448,608,506
"Streptomyces sp. RLB1-33",863,3365,869,2306,4515,1782
"Streptomyces sp. RLB1-9",0,824,0,0,0,0
"Streptomyces sp. RLB3-17",0,2164,0,877,1396,627
"Streptomyces sp. RLB3-6",0,2112,0,1487,1739,1851
"Streptomyces sp. RPA4-2",335,1673,340,1652,4023,952
"Streptomyces sp. RPA4-5",146,1989,213,726,438,283
"Streptomyces sp. RTd22",288,1747,355,511,680,475
"Streptomyces sp. S063",110,231,185,221,290,307
"Streptomyces sp. S1A1-7",474,3085,572,1165,1617,595
"Streptomyces sp. S1D4-14",0,1997,0,0,1590,0
"Streptomyces sp. S1D4-20",0,302,0,0,0,0
"Streptomyces sp. S1D4-23",0,4727,0,2088,2364,0
"Streptomyces sp. S4.7",185,513,357,371,534,611
"Streptomyces sp. S501",252,292,554,373,665,574
"Streptomyces sp. S8",164,312,232,225,292,312
"Streptomyces sp. SAT1",321,728,344,565,969,566
"Streptomyces sp. SCSIO 3032",194,304,224,275,326,304
"Streptomyces sp. SCSIO 64649",215,299,253,279,348,334
"Streptomyces sp. SCUT-3",422,939,553,878,1182,800
"Streptomyces sp. SGAir0924",303,194,317,218,275,288
"Streptomyces sp. Sge12",257,444,379,217,350,999
"Streptomyces sp. SirexAA-E",353,550,466,387,687,566
"Streptomyces sp. SM18",309,551,384,345,558,592
"Streptomyces sp. SN-593",493,1168,705,1508,3019,1120
"Streptomyces sp. So13.3",817,1279,619,1397,6553,1188
"Streptomyces sp. SS52",0,313,0,194,204,223
"Streptomyces sp. ST1015",331,854,430,569,893,771
"Streptomyces sp. SUK 48",185,407,246,300,468,312
"Streptomyces sp. SYP-A7193",227,476,286,344,519,383
"Streptomyces sp. TN58",212,585,394,327,482,649
"Streptomyces sp. Tu 2975",235,639,379,401,561,564
"Streptomyces sp. Tu6071",223,179,196,220,214,245
"Streptomyces sp. Tue 6075",185,229,215,171,228,259
"Streptomyces sp. V17-9",0,275,189,218,276,299
"Streptomyces sp. VN1",0,349,274,318,381,222
"Streptomyces sp. W1SF4",323,829,438,473,789,819
"Streptomyces sp. WA1-19",0,224,0,229,397,261
"Streptomyces sp. WA6-1-16",189,287,222,163,319,293
"Streptomyces sp. WAC 01438",279,694,424,483,724,588
"Streptomyces sp. WAC 01529",189,469,249,348,469,465
"Streptomyces sp. WAC 06738",236,351,324,337,390,357
"Streptomyces sp. WAC00288",0,173,0,156,329,236
"Streptomyces sp. WY228",191,325,277,284,387,411
"Streptomyces sp. XC 2026",147,210,155,179,272,224
"Streptomyces sp. YIM 121038",289,583,383,475,686,592
"Streptomyces sp. YPW6",197,323,248,286,348,351
"Streptomyces sp. Z423-1",290,894,433,546,819,707
"Streptomyces sp. ZYC-3",527,3616,1302,904,1557,4872
"Streptomyces spectabilis",411,833,511,646,830,815
"Streptomyces spongiicola",202,470,318,380,463,427
"Streptomyces subrutilus",303,648,402,431,635,667
"Streptomyces tendae",237,557,269,382,458,348
"Streptomyces tirandamycinicus",223,540,376,367,536,425
"Streptomyces tsukubensis",401,907,577,736,974,1396
"Streptomyces tuirus",201,432,288,290,421,361
"Streptomyces venezuelae",1642,4424,2688,2624,4095,5239
"Streptomyces vietnamensis",343,670,460,430,753,727
"Streptomyces vinaceus",288,1697,355,517,1054,595
"Streptomyces violaceoruber",0,126,0,0,149,144
"Streptomyces violaceusniger",173,340,263,287,412,370
"Streptomyces viridosporus",171,530,278,357,530,369
"Streptomyces xanthii",279,796,479,535,897,601
"Streptomyces xiamenensis",161,194,171,215,269,228
"Streptomyces xinghaiensis",296,711,391,550,726,581
"Streptomyces yatensis",154,309,182,291,356,299
"Yinghuangia sp. ASG 101",444,992,582,792,884,911
"Nocardiopsis alba",170,352,253,355,369,349
"Nocardiopsis dassonvillei",222,456,331,512,484,402
"Nocardiopsis gilva",192,572,347,701,684,566
"Nocardiopsis sp. HDS12",118,314,224,300,331,322
"Nocardiopsis sp. MT53",312,634,437,657,750,573
"Spiractinospora alimapuensis",176,426,278,397,435,363
"Streptomonospora litoralis",299,607,402,628,718,489
"Thermobifida fusca",142,281,170,330,375,258
"Nonomuraea coxensis",573,1952,817,1528,1567,1223
"Nonomuraea gerenzanensis",564,1901,916,1441,1567,1341
"Nonomuraea nitratireducens",533,2041,841,1413,1458,1293
"Nonomuraea sp. ATCC 55076",637,1966,893,1569,1544,1345
"Streptosporangium roseum",626,3126,835,1383,1425,1420
"Streptosporangium sp. 'caverna'",704,1785,1263,1613,1939,7297
"Thermobispora bispora",347,890,507,1136,1154,677
"Actinomadura graeca",410,1173,608,1232,1357,985
"Actinomadura sp. NAK00032",581,1410,752,1484,1717,1193
"Actinomadura sp. WMMA1423",518,1458,743,1404,1698,1145
"Actinomadura sp. WMMB 499",536,1272,719,1255,1365,1090
"Actinomadura verrucosospora",579,1441,968,1725,2000,1371
"Thermomonospora amylolytica",487,1250,668,1729,1810,1136
"Thermomonospora curvata",317,658,402,1105,1195,711
"Atopobium sp. oral taxon 416",0,32,0,0,25,0
"Olsenella sp. oral taxon 807",0,58,43,29,41,36
"Olsenella timonensis",91,171,141,114,125,144
"Olsenella uli",32,90,47,69,55,73
"Parafannyhessea umbonata",103,124,129,132,122,181
"Parolsenella catena",65,113,84,75,85,82
"Parolsenella massiliensis",40,98,67,73,74,102
"Thermophilibacter immobilis",75,136,108,122,77,119
"Collinsella aerofaciens",101,165,168,142,185,203
"Collinsella stercoris",40,85,70,77,79,95
"Coriobacterium glomerans",36,47,41,48,38,55
"Adlercreutzia equolifaciens",69,162,64,98,107,74
"Adlercreutzia hattorii",0,0,69,0,72,93
"Arabiibacter massiliensis",92,119,90,116,88,133
"Berryella intestinalis",133,267,197,232,204,320
"Denitrobacterium detoxificans",0,51,77,53,50,66
"Eggerthella guodeyinii",91,137,141,113,96,119
"Eggerthella lenta",103,150,111,145,150,171
"Eggerthella sp. YY7918",0,39,49,40,52,41
"Gordonibacter pamelaeae",113,126,86,130,88,136
"Gordonibacter urolithinfaciens",49,98,54,74,55,97
"Slackia heliotrinireducens",22,36,26,35,44,53
"Egibacter rhizosphaerae",302,644,492,532,484,592
"Egicoccus halophilus",282,600,482,384,444,614
"Euzebya pacifica",280,553,501,356,377,562
"Baekduia soli",2675,13501,4036,7102,5978,4907
"Rubrobacter indicoceani",83,161,99,116,115,139
"Rubrobacter marinus",338,709,489,466,516,586
"Rubrobacter radiotolerans",142,343,247,229,293,243
"Rubrobacter tropicus",301,665,515,443,471,630
"Rubrobacter xylanophilus",437,1044,610,683,749,827
"Miltoncostaea marina",1541,4034,3053,2370,2308,2983
"Miltoncostaea oceani",1455,3591,2755,2152,2259,3060
"Conexibacter sp. SYSU D00693",3094,15425,5167,7621,6520,6035
"Conexibacter woesei",4122,18906,6987,8769,7919,8244
"Thermocrinis minervae",0,39,0,0,0,23
"Persephonella marina",0,0,0,0,0,22
"Sulfurihydrogenibium azorense",0,0,0,0,0,24
"Chthonomonas calidirosea",0,28,0,29,32,34
"Fimbriimonas ginsengisoli",128,142,106,139,157,160
"Sodaliphilus pleomorphus",76,84,80,98,81,0
"Paludibacter propionicigenes",0,0,0,0,0,21
"Porphyromonas sp. oral taxon 275",38,0,41,40,0,0
"Prevotella dentalis",36,0,31,43,0,58
"Prevotella melaninogenica",0,0,38,0,0,0
"Alistipes communis",208,226,115,146,117,132
"Alistipes dispar",68,33,46,57,37,67
"Alistipes finegoldii",0,0,57,0,0,59
"Alistipes indistinctus",51,46,0,37,52,42
"Alistipes megaguti",29,26,31,31,30,62
"Alistipes onderdonkii",39,49,34,67,45,63
"Alistipes senegalensis",61,45,40,46,31,61
"Alistipes shahii",62,0,55,0,54,74
"Alistipes sp. dk3624",0,68,42,56,59,48
"Tannerella serpentiformis",0,0,28,35,32,45
"Draconibacterium orientale",0,0,35,0,0,31
"Arachidicoccus ginsenosidivorans",43,33,41,30,28,40
"Arachidicoccus soli",40,0,57,0,62,72
"Arachidicoccus sp. 5GH13-10",38,26,36,0,28,58
"Arachidicoccus sp. B3-10",44,22,26,0,0,49
"Arachidicoccus sp. BS20",100,80,90,106,137,100
"Chitinophaga agri",58,27,57,40,31,109
"Chitinophaga alhagiae",29,0,36,0,32,25
"Chitinophaga caeni",54,0,59,0,27,44
"Chitinophaga oryzae",81,31,49,44,55,65
"Chitinophaga pinensis",50,52,75,49,35,66
"Chitinophaga sp. KRA15-503",109,52,95,53,83,104
"Chitinophaga sp. XS-30",82,44,78,64,52,144
"Ferruginibacter lapsinanis",297,75,257,101,124,281
"Ferruginibacter sp. KIS38-8",211,69,216,98,137,238
"Filimonas lacunae",108,38,104,71,83,156
"Flavihumibacter sp. IMCC34837",196,101,207,124,90,307
"Flavihumibacter sp. IMCC34838",96,65,88,54,80,130
"Flavisolibacter ginsenosidimutans",139,85,125,96,122,172
"Flavisolibacter tropicus",129,55,112,61,102,175
"Lacibacter sp. S13-6-6",320,96,212,114,132,1174
"Niabella ginsenosidivorans",113,64,84,61,70,149
"Niabella soli",142,58,105,64,74,172
"Niastella koreensis",404,570,204,504,750,822
"Panacibacter ginsenosidivorans",638,499,327,624,1144,888
"Paraflavitalea soli",217,135,232,106,110,322
"Phnomibacter ginsenosidimutans",109,59,133,41,81,135
"Pseudobacter ginsenosidimutans",147,74,130,101,68,223
"Pseudocnuella soli",132,83,124,75,81,144
"Bernardetia litoralis",0,0,0,0,0,23
"Algoriphagus machipongonensis",0,0,0,0,0,26
"Algoriphagus sp. NBT04N3",0,0,36,0,0,0
"Algoriphagus sp. Y33",0,0,33,0,0,25
"Aquiflexum balticum",0,0,33,0,0,38
"Belliella baltica",0,0,0,0,0,41
"Echinicola strongylocentroti",0,0,0,0,0,27
"Aquirufa nivalisilvae",0,0,0,0,0,27
"Cytophaga hutchinsonii",37,0,195,0,30,44
"Rhodocytophaga rosea",63,0,69,20,35,84
"Spirosoma aerolatum",36,0,29,22,0,23
"Spirosoma aureum",33,0,43,0,0,40
"Spirosoma endbachense",44,0,59,38,52,69
"Spirosoma montaniterrae",31,0,31,27,30,37
"Spirosoma pollinicola",51,0,24,31,32,40
"Spirosoma radiotolerans",24,0,28,0,61,45
"Spirosoma rigui",27,34,25,0,25,42
"Spirosoma sp. CJU-R4",49,38,58,36,50,57
"Spirosoma sp. KCTC 42546",42,0,56,25,24,31
"Spirosoma sp. KCTC 72228",33,0,30,22,0,47
"Spirosoma sp. KUDC1026",33,27,32,0,29,43
"Spirosoma sp. RHs26",23,0,0,24,0,31
"Spirosoma taeanense",26,29,47,29,24,43
"Chryseolinea soli",330,293,507,494,125,1169
"Fulvivirga sp. SW1-E11",0,0,30,0,0,0
"Adhaeribacter radiodurans",29,0,29,0,31,51
"Adhaeribacter swui",26,0,44,0,0,65
"Hymenobacter baengnokdamensis",59,72,72,64,47,94
"Hymenobacter busanensis",78,42,85,64,65,78
"Hymenobacter jejuensis",63,40,44,45,51,67
"Hymenobacter nivis",61,51,68,57,75,104
"Hymenobacter oligotrophus",48,30,66,45,42,56
"Hymenobacter qilianensis",32,0,36,32,28,60
"Hymenobacter sedentarius",69,55,77,68,62,90
"Hymenobacter sp. APR13",86,55,117,85,73,128
"Hymenobacter sp. BRD128",51,38,60,54,55,82
"Hymenobacter sp. BRD67",53,58,69,60,75,121
"Hymenobacter sp. BT18",36,28,40,27,34,50
"Hymenobacter sp. DG01",54,0,53,34,65,74
"Hymenobacter sp. DG25A",0,31,0,42,0,60
"Hymenobacter sp. DG25B",31,0,0,33,28,42
"Hymenobacter sp. NBH84",47,0,46,27,48,51
"Hymenobacter sp. PAMC 26554",58,53,69,55,69,84
"Hymenobacter sp. PAMC 26628",73,64,85,76,72,98
"Hymenobacter sp. S2-20-2",44,40,24,0,0,52
"Hymenobacter sp. TS19",41,26,40,0,26,46
"Hymenobacter swuensis",52,40,48,0,37,60
"Nibribacter ruber",0,0,0,0,0,34
"Pontibacter actiniarum",64,29,62,0,38,55
"Pontibacter akesuensis",31,0,23,0,0,47
"Pontibacter korlensis",0,0,26,0,0,26
"Pontibacter pudoricolor",30,0,52,40,0,40
"Pontibacter russatus",84,59,89,73,73,90
"Pontibacter sp. SGAir0037",30,0,32,0,0,43
"Rufibacter radiotolerans",36,0,37,25,0,41
"Rufibacter sp. DG15C",0,0,42,0,0,0
"Rufibacter tibetensis",27,0,31,0,0,39
"Mangrovivirga cuniculi",0,0,0,0,0,25
"Marivirga tractuosa",0,0,60,0,43,52
"Dyadobacter fermentans",62,41,69,40,39,67
"Dyadobacter sandarakinus",34,0,28,0,0,48
"Dyadobacter sp. NIV53",61,0,59,0,22,72
"Fibrella aestuarina",52,40,82,47,45,99
"Fibrella sp. ES10-3-2-2",30,0,35,25,30,40
"Larkinella sp. IE-0392",23,0,29,28,0,31
"Runella rosea",27,0,32,0,0,35
"Runella slithyformis",37,0,24,0,0,43
"Runella sp. SP2",0,0,24,0,0,32
"Blattabacterium cuenoti",49,0,66,46,39,63
"Crocinitomix sp. GM2_3_6_6",0,0,25,0,0,0
"Fluviicola taffensis",60,0,76,0,0,32
"Aequorivita sp. H23M31",0,0,27,0,0,50
"Aequorivita sublithincola",0,0,128,0,0,0
"Aggregatimonas sangjinii",0,0,21,0,0,0
"Algibacter alginicilyticus",0,0,34,0,0,0
"Amniculibacterium sp. G2-70",0,0,44,0,0,0
"Antarcticibacterium arcticum",0,0,0,0,0,24
"Antarcticibacterium flavum",0,0,35,0,0,0
"Antarcticibacterium sp. 1MA-6-2",0,0,26,0,0,23
"Aquimarina sp. AD10",0,0,22,0,0,0
"Capnocytophaga canimorsus",0,0,58,0,0,0
"Changchengzhania lutea",0,0,0,0,0,22
"Constantimarinum furrinae",0,0,25,0,0,24
"Flavobacterium album",0,0,21,0,0,53
"Flavobacterium alkalisoli",33,0,40,0,0,49
"Flavobacterium anhuiense",97,0,199,0,41,260
"Flavobacterium arcticum",0,0,25,0,0,41
"Flavobacterium branchiophilum",29,0,68,0,25,88
"Flavobacterium columnare",0,0,98,0,0,113
"Flavobacterium commune",264,0,251,50,46,231
"Flavobacterium covae",0,0,67,0,0,85
"Flavobacterium crassostreae",49,0,73,0,0,74
"Flavobacterium crocinum",127,0,191,0,54,219
"Flavobacterium davisii",0,0,62,0,0,65
"Flavobacterium endoglycinae",87,0,218,0,31,310
"Flavobacterium faecale",70,0,96,0,0,127
"Flavobacterium fluviale",122,0,196,0,32,250
"Flavobacterium gilvum",211,0,452,0,136,662
"Flavobacterium haoranii",43,0,134,0,0,123
"Flavobacterium indicum",37,0,133,0,0,161
"Flavobacterium inviolabile",49,0,107,0,34,213
"Flavobacterium johnsoniae",196,0,320,0,56,407
"Flavobacterium jumunjinense",39,0,139,0,0,116
"Flavobacterium kingsejongi",41,0,92,0,31,115
"Flavobacterium magnum",28,0,39,0,28,50
"Flavobacterium nackdongense",106,0,191,0,52,185
"Flavobacterium nitrogenifigens",86,0,143,0,0,220
"Flavobacterium oreochromis",34,0,54,0,0,72
"Flavobacterium pallidum",31,0,62,0,0,70
"Flavobacterium psychrophilum",110,0,428,0,34,677
"Flavobacterium sangjuense",430,0,292,0,106,418
"Flavobacterium sediminis",94,0,130,0,0,149
