"","Total Number of reads for each species across all samples"
"Cellulosimicrobium sp. BI34T",2309
"Cellulosimicrobium sp. JZ28",808
"Cellulosimicrobium sp. TH-20",759
"Isoptericola dokdonensis",2640
"Isoptericola variabilis",3159
"Xylanimicrobium sp. FW10M-9",2763
"Xylanimonas allomyrinae",2225
"Xylanimonas cellulosilytica",2323
"Ruania alkalisoli",1299
"Ruania Haloactinobacterium kanbiaonis",3406
"Ruania sp. LR1S40",1643
"Ruania sp. M4N3S171",1121
"Ruania zhangjianzhongii",1690
"Sanguibacter keddieii",2449
"Sanguibacter sp. HDW7",1937
"Actinocatenispora sera",4397
"Actinocatenispora thailandica",4343
"Actinoplanes derwentensis",5675
"Actinoplanes friuliensis",11155
"Actinoplanes ianthinogenes",8805
"Actinoplanes missouriensis",6866
"Actinoplanes sp. L3-i22",14111
"Actinoplanes sp. N902-109",9071
"Actinoplanes sp. OR16",9116
"Actinoplanes teichomyceticus",6543
"Catellatospora sp. IY07-71",10379
"Dactylosporangium vinaceum",12232
"Micromonospora aurantiaca",7736
"Micromonospora auratinigra",3644
"Micromonospora carbonacea",5013
"Micromonospora chokoriensis",4466
"Micromonospora coriariae",4851
"Micromonospora coxensis",3460
"Micromonospora craniellae",2926
"Micromonospora echinaurantiaca",4900
"Micromonospora echinofusca",4158
"Micromonospora echinospora",3247
"Micromonospora endophytica (Xie et al. 2001) Li et al. 2019",3039
"Micromonospora ferruginea",3646
"Micromonospora inositola",6712
"Micromonospora krabiensis",4708
"Micromonospora maris",3187
"Micromonospora narathiwatensis",3336
"Micromonospora purpureochromogenes",4673
"Micromonospora rifamycinica",4215
"Micromonospora sagamiensis",3152
"Micromonospora siamensis",3875
"Micromonospora sp. B006",3101
"Micromonospora sp. HM134",4781
"Micromonospora sp. L5",2559
"Micromonospora sp. WMMA2032",3385
"Micromonospora sp. WMMC415",4608
"Micromonospora terminaliae",4663
"Micromonospora tulbaghiae",2645
"Micromonospora viridifaciens",4109
"Micromonospora zamorensis",5880
"Natronosporangium hydrolyticum",2904
"Phytohabitans flavus",6208
"Phytohabitans suffuscus",7606
"Plantactinospora sp. BB1",2798
"Plantactinospora sp. BC1",2795
"Plantactinospora sp. KBS50",4717
"Polymorphospora rubra",4807
"Salinispora tropica",2093
"Verrucosispora sp. NA02020",3096
"Nakamurella antarctica",579
"Nakamurella multipartita",14720
"Nakamurella panacisegetis",3791
"Nakamurella sp. PAMC28650",3262
"Actinopolymorpha singaporensis",4794
"Kribbella flavida",17301
"Kribbella qitaiheensis",15126
"Aeromicrobium chenweiae",3762
"Aeromicrobium choanae",3493
"Aeromicrobium erythreum",3355
"Aeromicrobium marinum",2798
"Aeromicrobium sp. A1-2",2681
"Aeromicrobium sp. zg-629",2578
"Aeromicrobium yanjiei",3354
"Friedmanniella luteola",7258
"Marmoricola scoriae",11013
"Micropruina glycogenica",3740
"Mumia sp. ZJ1417",3910
"Nocardioides anomalus",28554
"Nocardioides aquaticus",9047
"Nocardioides aromaticivorans",9159
"Nocardioides baekrokdamisoli",2573
"Nocardioides cynanchi",29106
"Nocardioides daphniae",4793
"Nocardioides dokdonensis",9289
"Nocardioides dongkuii",13662
"Nocardioides euryhalodurans",15501
"Nocardioides houyundeii",6441
"Nocardioides humi",9037
"Nocardioides jishulii",4255
"Nocardioides marinisabuli",9662
"Nocardioides mesophilus",13948
"Nocardioides okcheonensis",14360
"Nocardioides panacisoli",5563
"Nocardioides piscis",8177
"Nocardioides rotundus",9298
"Nocardioides sambongensis",7524
"Nocardioides seonyuensis",7279
"Nocardioides sp. 603",12009
"Nocardioides sp. CF8",14433
"Nocardioides sp. cx-173",15118
"Nocardioides sp. dk884",10698
"Nocardioides sp. G188",45172
"Nocardioides sp. HDW12B",11813
"Nocardioides sp. JQ2195",8751
"Nocardioides sp. JS614",19855
"Nocardioides sp. Kera G14",5194
"Nocardioides sp. LMS-CY",21861
"Nocardioides sp. MC1495",9114
"Nocardioides sp. S-1144",14142
"Nocardioides sp. S5",17915
"Nocardioides sp. SCSIO 67246",10705
"Nocardioides sp. TF02-7",11626
"Nocardioides sp. WS12",6846
"Nocardioides sp. zg-1228",18076
"Nocardioides sp. zg-536",7592
"Nocardioides sp. zg-579",14873
"Nocardioides sp. ZJ1313",10712
"Nocardioides ungokensis",26211
"Nocardioides yefusunii",2997
"Pimelobacter simplex",5930
"Acidipropionibacterium acidipropionici",2237
"Acidipropionibacterium jensenii",2880
"Acidipropionibacterium virtanenii",936
"Arachnia propionica",2395
"Arachnia rubra",638
"Auraticoccus monumenti",3313
"Brevilactibacter coleopterorum",3508
"Brevilactibacter sp. MC1595",3495
"Cutibacterium acnes",569
"Cutibacterium avidum",1123
"Cutibacterium granulosum",587
"Cutibacterium modestum",289
"Microlunatus elymi",3547
"Microlunatus phosphovorus",7602
"Microlunatus sagamiharensis",6112
"Microlunatus soli",3198
"Microlunatus sp. Gsoil 973",2665
"Propionibacterium acidifaciens",1374
"Propionibacterium australiense",1085
"Propionibacterium freudenreichii",2426
"Raineyella fluvialis",1981
"Tessaracoccus aquimaris",2300
"Tessaracoccus defluvii",2598
"Tessaracoccus flavescens",2590
"Tessaracoccus flavus",2325
"Tessaracoccus sp. J1M15",1754
"Tessaracoccus sp. MC1865",1454
"Tessaracoccus timonensis",1300
"Vaginimicrobium propionicum",126
"Actinoalloteichus hoggarensis",3361
"Actinoalloteichus hymeniacidonis",1867
"Actinosynnema mirum",855
"Actinosynnema pretiosum",3902
"Alloactinosynnema sp. L-07",3905
"Allokutzneria albata",4051
"Allosaccharopolyspora coralli",2067
"Amycolatopsis acidiphila",6392
"Amycolatopsis aidingensis",2866
"Amycolatopsis albispora",5359
"Amycolatopsis japonica",1917
"Amycolatopsis keratiniphila",3349
"Amycolatopsis mediterranei",7492
"Amycolatopsis methanolica",5433
"Amycolatopsis orientalis",2458
"Amycolatopsis sp. AA4",3093
"Amycolatopsis sp. BJA-103",2683
"Amycolatopsis sp. CA-230715",4115
"Amycolatopsis sp. DSM 110486",7014
"Amycolatopsis sp. EV170708-02-1",2535
"Amycolatopsis sp. FDAARGOS 1241",5848
"Amycolatopsis sp. FU40",3414
"Amycolatopsis sp. Hca4",5789
"Amycolatopsis sp. TNS106",2346
"Amycolatopsis sp. YIM 10",4055
"Kibdelosporangium phytohabitans",4463
"Kutzneria albida",4722
"Kutzneria sp. CA-103260",7078
"Lentzea guizhouensis",5847
"Prauserella marina",2082
"Pseudonocardia abyssalis",8132
"Pseudonocardia autotrophica",6650
"Pseudonocardia broussonetiae",12469
"Pseudonocardia dioxanivorans",14946
"Pseudonocardia sp. AL041005-10",4962
"Pseudonocardia sp. CGMCC 4.1532",10930
"Pseudonocardia sp. DSM 110487",15887
"Pseudonocardia sp. EC080625-04",4131
"Pseudonocardia sp. HH130629-09",4878
"Pseudonocardia sp. HH130630-07",6473
"Saccharomonospora azurea",2172
"Saccharomonospora cyanea",2314
"Saccharomonospora glauca",1628
"Saccharomonospora marina",3287
"Saccharomonospora viridis",1330
"Saccharomonospora xinjiangensis",1509
"Saccharopolyspora erythraea",7238
"Saccharopolyspora pogona",3178
"Saccharopolyspora sp. ASAGF58",2097
"Saccharopolyspora spinosa",2170
"Saccharothrix espanaensis",4672
"Saccharothrix sp. 6-C",5049
"Saccharothrix syringae",5338
"Epidermidibacterium keratini",3984
"Kitasatospora albolonga",1211
"Kitasatospora aureofaciens",3221
"Kitasatospora setae",3541
"Kitasatospora sp. MMS16-BH015",7903
"Kitasatospora sp. NA04385",3650
"Streptacidiphilus bronchialis",2857
"Streptacidiphilus sp. P02-A3a",3956
"Streptacidiphilus sp. PB12-B1b",3805
"Streptomyces actuosus",3023
"Streptomyces albidoflavus",3320
"Streptomyces albireticuli",2958
"Streptomyces alboflavus",2840
"Streptomyces alboniger",1776
"Streptomyces albulus",2942
"Streptomyces albus",5863
"Streptomyces alfalfae",3678
"Streptomyces ambofaciens",2680
"Streptomyces angustmyceticus",2958
"Streptomyces antibioticus",3426
"Streptomyces antimycoticus",1831
"Streptomyces anulatus",3929
"Streptomyces aquilus",4155
"Streptomyces armeniacus",3879
"Streptomyces asoensis",7743
"Streptomyces atratus",6884
"Streptomyces auratus",1948
"Streptomyces aureoverticillatus",2745
"Streptomyces autolyticus",2040
"Streptomyces avermitilis",4534
"Streptomyces bathyalis",3617
"Streptomyces bingchenggensis",5308
"Streptomyces broussonetiae",2944
"Streptomyces buecherae",4479
"Streptomyces cadmiisoli",3615
"Streptomyces californicus",1641
"Streptomyces calvus",2164
"Streptomyces capitiformicae",3952
"Streptomyces cattleya",3982
"Streptomyces cavourensis",1240
"Streptomyces chartreusis",6862
"Streptomyces chromofuscus",2401
"Streptomyces cinereoruber",849
"Streptomyces clavuligerus",2765
"Streptomyces coelicolor",2177
"Streptomyces coeruleorubidus",2922
"Streptomyces collinus",3311
"Streptomyces cyaneochromogenes",3497
"Streptomyces cyaneogriseus",1526
"Streptomyces cyanogenus",2138
"Streptomyces dangxiongensis",2254
"Streptomyces davaonensis",3442
"Streptomyces deccanensis",3180
"Streptomyces decoyicus",2565
"Streptomyces dengpaensis",6323
"Streptomyces exfoliatus",3028
"Streptomyces fagopyri",3801
"Streptomyces ferrugineus",3134
"Streptomyces ficellus",2855
"Streptomyces finlayi",2701
"Streptomyces fodineus",2650
"Streptomyces formicae",2191
"Streptomyces fradiae",4766
"Streptomyces fungicidicus",1322
"Streptomyces galilaeus",3297
"Streptomyces gardneri",2691
"Streptomyces genisteinicus",3267
"Streptomyces gilvosporeus",2387
"Streptomyces glaucescens",2381
"Streptomyces globisporus",2417
"Streptomyces globosus",3129
"Streptomyces glomeroaurantiacus",3897
"Streptomyces gobiensis",1894
"Streptomyces griseocarneus",3165
"Streptomyces griseochromogenes",3409
"Streptomyces griseofuscus",903
"Streptomyces griseorubiginosus",7268
"Streptomyces griseoviridis",3160
"Streptomyces griseus",3083
"Streptomyces harbinensis",2616
"Streptomyces hawaiiensis",2295
"Streptomyces huasconensis",1827
"Streptomyces hundungensis",2641
"Streptomyces hygroscopicus",8236
"Streptomyces incarnatus",2451
"Streptomyces inhibens",3398
"Streptomyces kanamyceticus",2308
"Streptomyces katrae",2873
"Streptomyces koyangensis",1934
"Streptomyces lavendulae",3039
"Streptomyces leeuwenhoekii",1650
"Streptomyces liangshanensis",3704
"Streptomyces lincolnensis",4456
"Streptomyces lividans",59647
"Streptomyces lunaelactis",7310
"Streptomyces luteoverticillatus",2966
"Streptomyces lydicus",8348
"Streptomyces malaysiensis",1492
"Streptomyces microflavus",3034
"Streptomyces mirabilis",5225
"Streptomyces mobaraensis",4461
"Streptomyces murinus",1096
"Streptomyces nigra",2942
"Streptomyces nitrosporeus",2189
"Streptomyces niveus",5272
"Streptomyces nodosus",2864
"Streptomyces nojiriensis",5146
"Streptomyces noursei",1465
"Streptomyces olivaceus",2564
"Streptomyces olivoreticuli",3052
"Streptomyces pactum",2152
"Streptomyces paludis",2933
"Streptomyces parvulus",2387
"Streptomyces peucetius",2881
"Streptomyces phaeolivaceus",4694
"Streptomyces platensis",1432
"Streptomyces pluripotens",2124
"Streptomyces prasinus",2709
"Streptomyces pratensis",2650
"Streptomyces pristinaespiralis",2427
"Streptomyces qaidamensis",2331
"Streptomyces qinzhouensis",1864
"Streptomyces rapamycinicus",2669
"Streptomyces rectiverticillatus",3071
"Streptomyces rimosus",4156
"Streptomyces rochei",452
"Streptomyces roseirectus",3316
"Streptomyces roseochromogenus",2644
"Streptomyces rubrolavendulae",1077
"Streptomyces rutgersensis",1987
"Streptomyces sampsonii",368
"Streptomyces scabiei",2353
"Streptomyces seoulensis",5376
"Streptomyces sp. 11-1-2",2205
"Streptomyces sp. 135",2483
"Streptomyces sp. 2114.2",1004
"Streptomyces sp. 2323.1",2082
"Streptomyces sp. 3211",2718
"Streptomyces sp. 3214.6",7862
"Streptomyces sp. 604F",374
"Streptomyces sp. 769",1710
"Streptomyces sp. A1-5",857
"Streptomyces sp. A144",1043
"Streptomyces sp. A2-16",9088
"Streptomyces sp. ADI95-16",2864
"Streptomyces sp. AgN23",2268
"Streptomyces sp. AMCC400023",4102
"Streptomyces sp. BH-MK-02",15263
"Streptomyces sp. BHT-5-2",2548
"Streptomyces sp. BSE6.1",716
"Streptomyces sp. C8S0",3067
"Streptomyces sp. CA-256286",180
"Streptomyces sp. CB00271",1288
"Streptomyces sp. CB01881",7916
"Streptomyces sp. CB04723",1095
"Streptomyces sp. CB09001",1988
"Streptomyces sp. CC0208",7426
"Streptomyces sp. CCM_MD2014",1613
"Streptomyces sp. CdTB01",5835
"Streptomyces sp. CFMR 7",1481
"Streptomyces sp. CLI2509",1512
"Streptomyces sp. CMB-StM0423",2525
"Streptomyces sp. CNQ-509",2095
"Streptomyces sp. CRSS-Y-16",1929
"Streptomyces sp. DSM 40868",3091
"Streptomyces sp. EAS-AB2608",1722
"Streptomyces sp. endophyte_N2",1020
"Streptomyces sp. F8",75
"Streptomyces sp. fd1-xmd",3188
"Streptomyces sp. FR-008",425
"Streptomyces sp. FR1",26
"Streptomyces sp. GBA 94-10",271
"Streptomyces sp. GF20",745
"Streptomyces sp. GMY02",3613
"Streptomyces sp. Go-475",2956
"Streptomyces sp. Go 40/10",2893
"Streptomyces sp. GQFP",6867
"Streptomyces sp. GS7",3043
"Streptomyces sp. HF10",1657
"Streptomyces sp. HM190",3534
"Streptomyces sp. HSG2",2423
"Streptomyces sp. ID38640",1452
"Streptomyces sp. INR7",3172
"Streptomyces sp. JB150",2534
"Streptomyces sp. jing01",2066
"Streptomyces sp. KPB2",647
"Streptomyces sp. LBUM 1475",3543
"Streptomyces sp. LBUM 1480",3000
"Streptomyces sp. LBUM 1482",8414
"Streptomyces sp. M2",2098
"Streptomyces sp. M54",867
"Streptomyces sp. M56",1789
"Streptomyces sp. MA3_2.13",3755
"Streptomyces sp. MBT27",3699
"Streptomyces sp. Mg1",3491
"Streptomyces sp. MG28",4613
"Streptomyces sp. MG62",2791
"Streptomyces sp. MOE7",1493
"Streptomyces sp. NA02536",1548
"Streptomyces sp. NA02950",3621
"Streptomyces sp. NA03103",844
"Streptomyces sp. NA04227",3173
"Streptomyces sp. NBU3104",429
"Streptomyces sp. NEAU-S7GS2",1601
"Streptomyces sp. NEAU-sy36",2934
"Streptomyces sp. NHF165",3773
"Streptomyces sp. P3",8852
"Streptomyces sp. PAMC 26508",2829
"Streptomyces sp. PBH53",1429
"Streptomyces sp. QHH-9511",2978
"Streptomyces sp. R527F",1453
"Streptomyces sp. Rer75",3989
"Streptomyces sp. RLB1-33",13700
"Streptomyces sp. RLB1-9",824
"Streptomyces sp. RLB3-17",5064
"Streptomyces sp. RLB3-6",7189
"Streptomyces sp. RPA4-2",8975
"Streptomyces sp. RPA4-5",3795
"Streptomyces sp. RTd22",4056
"Streptomyces sp. S063",1344
"Streptomyces sp. S1A1-7",7508
"Streptomyces sp. S1D4-14",3587
"Streptomyces sp. S1D4-20",302
"Streptomyces sp. S1D4-23",9179
"Streptomyces sp. S4.7",2571
"Streptomyces sp. S501",2710
"Streptomyces sp. S8",1537
"Streptomyces sp. SAT1",3493
"Streptomyces sp. SCSIO 3032",1627
"Streptomyces sp. SCSIO 64649",1728
"Streptomyces sp. SCUT-3",4774
"Streptomyces sp. SGAir0924",1595
"Streptomyces sp. Sge12",2646
"Streptomyces sp. SirexAA-E",3009
"Streptomyces sp. SM18",2739
"Streptomyces sp. SN-593",8013
"Streptomyces sp. So13.3",11853
"Streptomyces sp. SS52",934
"Streptomyces sp. ST1015",3848
"Streptomyces sp. SUK 48",1918
"Streptomyces sp. SYP-A7193",2235
"Streptomyces sp. TN58",2649
"Streptomyces sp. Tu 2975",2779
"Streptomyces sp. Tu6071",1277
"Streptomyces sp. Tue 6075",1287
"Streptomyces sp. V17-9",1257
"Streptomyces sp. VN1",1544
"Streptomyces sp. W1SF4",3671
"Streptomyces sp. WA1-19",1111
"Streptomyces sp. WA6-1-16",1473
"Streptomyces sp. WAC 01438",3192
"Streptomyces sp. WAC 01529",2189
"Streptomyces sp. WAC 06738",1995
"Streptomyces sp. WAC00288",894
"Streptomyces sp. WY228",1875
"Streptomyces sp. XC 2026",1187
"Streptomyces sp. YIM 121038",3008
"Streptomyces sp. YPW6",1753
"Streptomyces sp. Z423-1",3689
"Streptomyces sp. ZYC-3",12778
"Streptomyces spectabilis",4046
"Streptomyces spongiicola",2260
"Streptomyces subrutilus",3086
"Streptomyces tendae",2251
"Streptomyces tirandamycinicus",2467
"Streptomyces tsukubensis",4991
"Streptomyces tuirus",1993
"Streptomyces venezuelae",20712
"Streptomyces vietnamensis",3383
"Streptomyces vinaceus",4506
"Streptomyces violaceoruber",419
"Streptomyces violaceusniger",1845
"Streptomyces viridosporus",2235
"Streptomyces xanthii",3587
"Streptomyces xiamenensis",1238
"Streptomyces xinghaiensis",3255
"Streptomyces yatensis",1591
"Yinghuangia sp. ASG 101",4605
"Nocardiopsis alba",1848
"Nocardiopsis dassonvillei",2407
"Nocardiopsis gilva",3062
"Nocardiopsis sp. HDS12",1609
"Nocardiopsis sp. MT53",3363
"Spiractinospora alimapuensis",2075
"Streptomonospora litoralis",3143
"Thermobifida fusca",1556
"Nonomuraea coxensis",7660
"Nonomuraea gerenzanensis",7730
"Nonomuraea nitratireducens",7579
"Nonomuraea sp. ATCC 55076",7954
"Streptosporangium roseum",8815
"Streptosporangium sp. 'caverna'",14601
"Thermobispora bispora",4711
"Actinomadura graeca",5765
"Actinomadura sp. NAK00032",7137
"Actinomadura sp. WMMA1423",6966
"Actinomadura sp. WMMB 499",6237
"Actinomadura verrucosospora",8084
"Thermomonospora amylolytica",7080
"Thermomonospora curvata",4388
"Atopobium sp. oral taxon 416",57
"Olsenella sp. oral taxon 807",207
"Olsenella timonensis",786
"Olsenella uli",366
"Parafannyhessea umbonata",791
"Parolsenella catena",504
"Parolsenella massiliensis",454
"Thermophilibacter immobilis",637
"Collinsella aerofaciens",964
"Collinsella stercoris",446
"Coriobacterium glomerans",265
"Adlercreutzia equolifaciens",574
"Adlercreutzia hattorii",234
"Arabiibacter massiliensis",638
"Berryella intestinalis",1353
"Denitrobacterium detoxificans",297
"Eggerthella guodeyinii",697
"Eggerthella lenta",830
"Eggerthella sp. YY7918",221
"Gordonibacter pamelaeae",679
"Gordonibacter urolithinfaciens",427
"Slackia heliotrinireducens",216
"Egibacter rhizosphaerae",3046
"Egicoccus halophilus",2806
"Euzebya pacifica",2629
"Baekduia soli",38199
"Rubrobacter indicoceani",713
"Rubrobacter marinus",3104
"Rubrobacter radiotolerans",1497
"Rubrobacter tropicus",3025
"Rubrobacter xylanophilus",4350
"Miltoncostaea marina",16289
"Miltoncostaea oceani",15272
"Conexibacter sp. SYSU D00693",43862
"Conexibacter woesei",54947
"Thermocrinis minervae",62
"Persephonella marina",22
"Sulfurihydrogenibium azorense",24
"Chthonomonas calidirosea",123
"Fimbriimonas ginsengisoli",832
"Sodaliphilus pleomorphus",419
"Paludibacter propionicigenes",21
"Porphyromonas sp. oral taxon 275",119
"Prevotella dentalis",168
"Prevotella melaninogenica",38
"Alistipes communis",944
"Alistipes dispar",308
"Alistipes finegoldii",116
"Alistipes indistinctus",228
"Alistipes megaguti",209
"Alistipes onderdonkii",297
"Alistipes senegalensis",284
"Alistipes shahii",245
"Alistipes sp. dk3624",273
"Tannerella serpentiformis",140
"Draconibacterium orientale",66
"Arachidicoccus ginsenosidivorans",215
"Arachidicoccus soli",231
"Arachidicoccus sp. 5GH13-10",186
"Arachidicoccus sp. B3-10",141
"Arachidicoccus sp. BS20",613
"Chitinophaga agri",322
"Chitinophaga alhagiae",122
"Chitinophaga caeni",184
"Chitinophaga oryzae",325
"Chitinophaga pinensis",327
"Chitinophaga sp. KRA15-503",496
"Chitinophaga sp. XS-30",464
"Ferruginibacter lapsinanis",1135
"Ferruginibacter sp. KIS38-8",969
"Filimonas lacunae",560
"Flavihumibacter sp. IMCC34837",1025
"Flavihumibacter sp. IMCC34838",513
"Flavisolibacter ginsenosidimutans",739
"Flavisolibacter tropicus",634
"Lacibacter sp. S13-6-6",2048
"Niabella ginsenosidivorans",541
"Niabella soli",615
"Niastella koreensis",3254
"Panacibacter ginsenosidivorans",4120
"Paraflavitalea soli",1122
"Phnomibacter ginsenosidimutans",558
"Pseudobacter ginsenosidimutans",743
"Pseudocnuella soli",639
"Bernardetia litoralis",23
"Algoriphagus machipongonensis",26
"Algoriphagus sp. NBT04N3",36
"Algoriphagus sp. Y33",58
"Aquiflexum balticum",71
"Belliella baltica",41
"Echinicola strongylocentroti",27
"Aquirufa nivalisilvae",27
"Cytophaga hutchinsonii",306
"Rhodocytophaga rosea",271
"Spirosoma aerolatum",110
"Spirosoma aureum",116
"Spirosoma endbachense",262
"Spirosoma montaniterrae",156
"Spirosoma pollinicola",178
"Spirosoma radiotolerans",158
"Spirosoma rigui",153
"Spirosoma sp. CJU-R4",288
"Spirosoma sp. KCTC 42546",178
"Spirosoma sp. KCTC 72228",132
"Spirosoma sp. KUDC1026",164
"Spirosoma sp. RHs26",78
"Spirosoma taeanense",198
"Chryseolinea soli",2918
"Fulvivirga sp. SW1-E11",30
"Adhaeribacter radiodurans",140
"Adhaeribacter swui",135
"Hymenobacter baengnokdamensis",408
"Hymenobacter busanensis",412
"Hymenobacter jejuensis",310
"Hymenobacter nivis",416
"Hymenobacter oligotrophus",287
"Hymenobacter qilianensis",188
"Hymenobacter sedentarius",421
"Hymenobacter sp. APR13",544
"Hymenobacter sp. BRD128",340
"Hymenobacter sp. BRD67",436
"Hymenobacter sp. BT18",215
"Hymenobacter sp. DG01",280
"Hymenobacter sp. DG25A",133
"Hymenobacter sp. DG25B",134
"Hymenobacter sp. NBH84",219
"Hymenobacter sp. PAMC 26554",388
"Hymenobacter sp. PAMC 26628",468
"Hymenobacter sp. S2-20-2",160
"Hymenobacter sp. TS19",179
"Hymenobacter swuensis",237
"Nibribacter ruber",34
"Pontibacter actiniarum",248
"Pontibacter akesuensis",101
"Pontibacter korlensis",52
"Pontibacter pudoricolor",162
"Pontibacter russatus",468
"Pontibacter sp. SGAir0037",105
"Rufibacter radiotolerans",139
"Rufibacter sp. DG15C",42
"Rufibacter tibetensis",97
"Mangrovivirga cuniculi",25
"Marivirga tractuosa",155
"Dyadobacter fermentans",318
"Dyadobacter sandarakinus",110
"Dyadobacter sp. NIV53",214
"Fibrella aestuarina",365
"Fibrella sp. ES10-3-2-2",160
"Larkinella sp. IE-0392",111
"Runella rosea",94
"Runella slithyformis",104
"Runella sp. SP2",56
"Blattabacterium cuenoti",263
"Crocinitomix sp. GM2_3_6_6",25
"Fluviicola taffensis",168
"Aequorivita sp. H23M31",77
"Aequorivita sublithincola",128
"Aggregatimonas sangjinii",21
"Algibacter alginicilyticus",34
"Amniculibacterium sp. G2-70",44
"Antarcticibacterium arcticum",24
"Antarcticibacterium flavum",35
"Antarcticibacterium sp. 1MA-6-2",49
"Aquimarina sp. AD10",22
"Capnocytophaga canimorsus",58
"Changchengzhania lutea",22
"Constantimarinum furrinae",49
"Flavobacterium album",74
"Flavobacterium alkalisoli",122
"Flavobacterium anhuiense",597
"Flavobacterium arcticum",66
"Flavobacterium branchiophilum",210
"Flavobacterium columnare",211
"Flavobacterium commune",842
"Flavobacterium covae",152
"Flavobacterium crassostreae",196
"Flavobacterium crocinum",591
"Flavobacterium davisii",127
"Flavobacterium endoglycinae",646
"Flavobacterium faecale",293
"Flavobacterium fluviale",600
"Flavobacterium gilvum",1461
"Flavobacterium haoranii",300
"Flavobacterium indicum",331
"Flavobacterium inviolabile",403
"Flavobacterium johnsoniae",979
"Flavobacterium jumunjinense",294
"Flavobacterium kingsejongi",279
"Flavobacterium magnum",145
"Flavobacterium nackdongense",534
"Flavobacterium nitrogenifigens",449
"Flavobacterium oreochromis",160
"Flavobacterium pallidum",163
"Flavobacterium psychrophilum",1249
"Flavobacterium sangjuense",1246
"Flavobacterium sediminis",373
"Flavobacterium sp. 140616W15",830
"Flavobacterium sp. CECT 9288",455
"Flavobacterium sp. CHNK8",464
"Flavobacterium sp. CJ74",107
"Flavobacterium sp. CLA17",1575
"Flavobacterium sp. CS20",45
"Flavobacterium sp. F-29",789
"Flavobacterium sp. F-323",4206
"Flavobacterium sp. F-340",705
"Flavobacterium sp. F-70",1011
"Flavobacterium sp. GENT11",363
"Flavobacterium sp. GENT5",466
"Flavobacterium sp. HJ-32-4",315
"Flavobacterium sp. I3-2",498
"Flavobacterium sp. KBS0721",2578
"Flavobacterium sp. KK2020170",336
"Flavobacterium sp. KSM-R2A25",459
"Flavobacterium sp. KSM-R2A30",569
"Flavobacterium sp. LPB0248",515
"Flavobacterium sp. M31R6",7197
"Flavobacterium sp. MDT1-60",6148
"Flavobacterium sp. SHINM13",305
"Flavobacterium sp. SLB02",1749
"Flavobacterium sp. Sr18",947
"Flavobacterium sp. WSW3-B6",112
"Flavobacterium sp. xlx-214",141
"Galbibacter sp. BG1",21
"Gramella flava",37
"Gramella fulva",34
"Gramella sp. MT6",23
"Kordia antarctica",62
"Lutibacter sp. A64",32
"Mariniflexile sp. TRM1-10",82
"Muricauda aurantiaca",21
"Muricauda ruestringensis",22
"Muricauda sp. SCSIO 65647",23
"Myroides odoratus",99
"Polaribacter haliotis",52
"Polaribacter sp. KT25b",78
"Robiginitalea biformata",85
"Salegentibacter sp. T436",86
"Siansivirga zeaxanthinifaciens",28
"Sinomicrobium sp. HD2P242",54
"Tenacibaculum dicentrarchi",40
"Tenacibaculum sp. SZ-18",37
"Winogradskyella helgolandensis",31
"Winogradskyella schleiferi",38
"Winogradskyella sp. HaHa_3_26",41
"Zobellia galactanivorans",22
"Zunongwangia profunda",55
"Zunongwangia sp. SCSIO 43204",57
"Owenweeksia hongkongensis",24
"Chryseobacterium arthrosphaerae",57
"Chryseobacterium balustinum",152
"Chryseobacterium carnipullorum",68
"Chryseobacterium glaciei",475
"Chryseobacterium indologenes",182
"Chryseobacterium indoltheticum",195
"Chryseobacterium piperi",22
"Chryseobacterium salivictor",50
"Chryseobacterium shandongense",87
"Chryseobacterium sp. 3008163",224
"Chryseobacterium sp. C-17",167
"Chryseobacterium sp. G0201",335
"Chryseobacterium sp. IHB B 17019",38
"Chryseobacterium sp. LJ668",46
"Chryseobacterium sp. MEBOG06",24
"Chryseobacterium sp. T16E-39",24
"Chryseobacterium sp. Y16C",173
"Chryseobacterium sp. ZHDP1",150
"Chryseobacterium taklimakanense",73
"Epilithonimonas vandammei",154
"Kaistella jeonii",39
"Kaistella sp. 97-N-M2",34
"Haliscomenobacter hydrossis",237
"Rhodocaloribacter litoris",1718
"Rhodothermus marinus",1476
"Salinibacter ruber",978
"Anseongella ginsenosidimutans",159
"Mucilaginibacter celer",307
"Mucilaginibacter daejeonensis",95
"Mucilaginibacter ginkgonis",121
"Mucilaginibacter ginsenosidivorans",251
"Mucilaginibacter ginsenosidivorax",736
"Mucilaginibacter gossypii",178
"Mucilaginibacter gotjawali",317
"Mucilaginibacter mali",222
"Mucilaginibacter mallensis",320
"Mucilaginibacter paludis",249
"Mucilaginibacter rubeus",1375
"Mucilaginibacter sp. 14171R-50",285
"Mucilaginibacter sp. 21P",153
"Mucilaginibacter sp. F39-2",100
"Mucilaginibacter xinganensis",342
"Olivibacter sp. LS-1",23
"Pedobacter aquae",33
"Pedobacter cryoconitis",167
"Pedobacter endophyticus",142
"Pedobacter ginsengisoli",499
"Pedobacter heparinus",199
"Pedobacter roseus",198
"Pedobacter schmidteae",204
"Pedobacter sp. D749",1564
"Pedobacter sp. G11",271
"Pedobacter sp. HDW13",185
"Pedobacter sp. KBS0701",365
"Pedobacter sp. PACM 27299",228
"Pedobacter sp. Q8-18",206
"Pedobacter sp. SW-16",374
